ID,company,company_phone,address,postal_address,city,country,company_email,bank_name,bank_branch,account_name,account_no,acc_code,contact_person,contact_email,contact_phone,pin,credit_limit,vat_deduction,deduct_wht
1,ROADMAP TECH,,,,,,,,,,,,,,,,0,,omit
2,ASUS HOLLAND -USD,07222333222,,,,,,,,,,,,,,P444000044L,0,,omit
2,FAST WAY CARGO -USD,,,,,,,,,,,,,,,,,,omit
2,TT GONG- USD,,,,,,,,,,,,,,,,,,omit
2,IT FOR AFRICA-USD,,,,,,,,,,,,,,,,,,omit
2,ensure dubai,,,,,,,,,,,,,,,,,,omit
2,HIPERDIST LTD,,,,,,,,,,,,,,,,,,omit
2,Apple Care,,,,,,,,,,,,,,,,,,omit
2,Njeri Vendor,,,,,,,,,,,,,,,,,,omit
2,SURCHAK,,,,,,,,,,,,,,,,,,omit
2,SAMYCOM ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,CAPSLOCK IT SERVICES,,,,,,,,,,,,,,,,,,omit
2,Kyalo,,,,,,,,,,,,,,,,,,omit
2,Dr. Volt Technologies Ltd,,,,,,,,,,,,,,,,,,omit
2,WINTOUCH- USD,,,,,,,,,,,,,,,,,,omit
2,WINTOUCH -USD,,,,,,,,,,,,,,,,,,omit
2,FRIDAH SYOKAU,,,,,,,,,,,,,,,,,,omit
2,DREAMCOM TECHNOLOGIES KYALLO,,,,,,,,,,,,,,,,,,omit
2,Toshiba,,,,,,,,,,,,,,,,,,omit
2,Energy Dynamics Africa Limited,,,,,,,,,,,,,,,,,,omit
2,ACCURATE SMARTFIX,,,,,,,,,,,,,,,,,,omit
2,JORIAM TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,AHMED BUSINESS MACHINES LTD,,,,,,,,,,,,,,,,,,omit
2,FIN MUG LTD,,,,,,,,,,,,,,,,,,omit
2,LITELUCK ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,Sai Office Supplies Limited,,,,,,,,,,,,,,,,,,omit
2,ABUNDANT  GENERAL SUPPLIES,,,,,,,,,,,,,,,,,,omit
2,APA INSURANCE,,,,,,,,,,,,,,,,,,omit
2,SKYWING LOGISTICS LTD,,,,,,,,,,,,,,,,,,omit
2,System,,,,,,,,,,,,,,,,,,omit
2,janney screens,,,,,,,,,,,,,,,,,,omit
2,EMMA,,,,,,,,,,,,,,,,,,omit
2,LUCY,,,,,,,,,,,,,,,,,,omit
2,UNION TOWERS,,,,,,,,,,,,,,,,,,omit
2,KRA,,,,,,,,,,,,,,,,,,omit
2,POS Tax Agency,,,,,,,,,,,,,,,,,,omit
2,kra,,,,,,,,,,,,,,,,,,omit
2,enest,,,,,,,,,,,,,,,,,,omit
2,josatronic data systems,,,,,,,,,,,,,,,,,,omit
2,Fgee computers.,,,,,,,,,,,,,,,,,,omit
2,Sealtec,,,,,,,,,,,,,,,,,,omit
2,HUSSEIN,,,,,,,,,,,,,,,,,,omit
2,MIDTRAN,,,,,,,,,,,,,,,,,,omit
2,COMPMERG ENTERPRISES,,,,,,,,,,,,,,,,,,omit
2,purma computer,,,,,,,,,,,,,,,,,,omit
2,BLUECODE COMPUTER,,,,,,,,,,,,,,,,,,omit
2,FGEE TECHNOLOGY,,,,,,,,,,,,,,,,,,omit
2,SMART WORLD,,,,,,,,,,,,,,,,,,omit
2,LEXMAR,,,,,,,,,,,,,,,,,,omit
2,LUCKY 2 COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,LEAD COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,CABLE SUPPLIER,,,,,,,,,,,,,,,,,,omit
2,FORTUNE NETWORKS,,,,,,,,,,,,,,,,,,omit
2,THUNDERCOM,,,,,,,,,,,,,,,,,,omit
2,MOSES NJENGA,,,,,,,,,,,,,,,,,,omit
2,IRISH,,,,,,,,,,,,,,,,,,omit
2,AMADI,,,,,,,,,,,,,,,,,,omit
2,JANNY LAPTOPS,,,,,,,,,,,,,,,,,,omit
2,Preferred Vendor,,,,,,,,,,,,,,,,,,omit
2,janTECH COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,JOZIP,,,,,,,,,,,,,,,,,,omit
2,ngumo,,,,,,,,,,,,,,,,,,omit
2,JOSE,,,,,,,,,,,,,,,,,,omit
2,ruby,,,,,,,,,,,,,,,,,,omit
2,Mburu,,,,,,,,,,,,,,,,,,omit
2,CHARLES,,,,,,,,,,,,,,,,,,omit
2,BULLS COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,PENTAPHARM PHONE SHOP,,,,,,,,,,,,,,,,,,omit
2,Fredy,,,,,,,,,,,,,,,,,,omit
2,WERE,,,,,,,,,,,,,,,,,,omit
2,PETER,,,,,,,,,,,,,,,,,,omit
2,Sam,,,,,,,,,,,,,,,,,,omit
2,Edu,,,,,,,,,,,,,,,,,,omit
2,Sylivesta,,,,,,,,,,,,,,,,,,omit
2,njuguna,,,,,,,,,,,,,,,,,,omit
2,KISMAT,,,,,,,,,,,,,,,,,,omit
2,ROY,,,,,,,,,,,,,,,,,,omit
2,JOHN,,,,,,,,,,,,,,,,,,omit
2,SIMON JACK,,,,,,,,,,,,,,,,,,omit
2,DAN,,,,,,,,,,,,,,,,,,omit
2,kAMAU,,,,,,,,,,,,,,,,,,omit
2,MWAS,,,,,,,,,,,,,,,,,,omit
2,TONY,,,,,,,,,,,,,,,,,,omit
2,Upnext,,,,,,,,,,,,,,,,,,omit
2,TABBY,,,,,,,,,,,,,,,,,,omit
2,ED COMPUTERSIFY,,,,,,,,,,,,,,,,,,omit
2,jush,,,,,,,,,,,,,,,,,,omit
2,ENEST SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,TEDY,,,,,,,,,,,,,,,,,,omit
2,DUKE,,,,,,,,,,,,,,,,,,omit
2,kINYUA,,,,,,,,,,,,,,,,,,omit
2,Ivan,,,,,,,,,,,,,,,,,,omit
2,PECAM TECH,,,,,,,,,,,,,,,,,,omit
2,DETEK COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,DOMINIC,,,,,,,,,,,,,,,,,,omit
2,HENRY,,,,,,,,,,,,,,,,,,omit
2,kevo,,,,,,,,,,,,,,,,,,omit
2,jEFF USER,,,,,,,,,,,,,,,,,,omit
2,MAFRAQ,,,,,,,,,,,,,,,,,,omit
2,EVANS,,,,,,,,,,,,,,,,,,omit
2,MAICH,,,,,,,,,,,,,,,,,,omit
2,ken,,,,,,,,,,,,,,,,,,omit
2,NDEGWA,,,,,,,,,,,,,,,,,,omit
2,RAPHAEL,,,,,,,,,,,,,,,,,,omit
2,WESTIE,,,,,,,,,,,,,,,,,,omit
2,AINDU,,,,,,,,,,,,,,,,,,omit
2,JERRY,,,,,,,,,,,,,,,,,,omit
2,VERTEX,,,,,,,,,,,,,,,,,,omit
2,LOOPS,,,,,,,,,,,,,,,,,,omit
2,ANTONY,,,,,,,,,,,,,,,,,,omit
2,YASSIN,,,,,,,,,,,,,,,,,,omit
2,DATACOM,,,,,,,,,,,,,,,,,,omit
2,Netpro system,,,,,,,,,,,,,,,,,,omit
2,Intergrated computer tech,,,,,,,,,,,,,,,,,,omit
2,Inforparts,,,,,,,,,,,,,,,,,,omit
2,JOSatronics,,,,,,,,,,,,,,,,,,omit
2,Waruru,,,,,,,,,,,,,,,,,,omit
2,magitech,,,,,,,,,,,,,,,,,,omit
2,jymo dan,,,,,,,,,,,,,,,,,,omit
2,STAno,,,,,,,,,,,,,,,,,,omit
2,Ring era,,,,,,,,,,,,,,,,,,omit
2,GRind  group,,,,,,,,,,,,,,,,,,omit
2,RObbin,,,,,,,,,,,,,,,,,,omit
2,ben biz,,,,,,,,,,,,,,,,,,omit
2,neon,,,,,,,,,,,,,,,,,,omit
2,janice,,,,,,,,,,,,,,,,,,omit
2,DUbai,,,,,,,,,,,,,,,,,,omit
2,steve,,,,,,,,,,,,,,,,,,omit
2,munio,,,,,,,,,,,,,,,,,,omit
2,githuo,,,,,,,,,,,,,,,,,,omit
2,shiku city stalls,,,,,,,,,,,,,,,,,,omit
2,starion,,,,,,,,,,,,,,,,,,omit
2,edify solutions,,,,,,,,,,,,,,,,,,omit
2,silicon vale comm,,,,,,,,,,,,,,,,,,omit
2,DAAZAR SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,Home Store,,,,,,,,,,,,,,,,,,omit
2,TOM MBOYA,,,,,,,,,,,,,,,,,,omit
2,mercy,,,,,,,,,,,,,,,,,,omit
2,spottech,,,,,,,,,,,,,,,,,,omit
2,LINDY ADAPTERS,,,,,,,,,,,,,,,,,,omit
2,ROZTECH,,,,,,,,,,,,,,,,,,omit
2,MODERN TECH & PRTS,,,,,,,,,,,,,,,,,,omit
2,njugush,,,,,,,,,,,,,,,,,,omit
2,rikel technologies,,,,,,,,,,,,,,,,,,omit
2,DESIGN81 INTERNATIONAL,,,,,,,,,,,,,,,,,,omit
2,SMATSOFT TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,macharia,,,,,,,,,,,,,,,,,,omit
2,smart view vendor,,,,,,,,,,,,,,,,,,omit
2,Angelnet computers,,,,,,,,,,,,,,,,,,omit
2,Mabrook technology ltd,,,,,,,,,,,,,,,,,,omit
2,value net technologies,,,,,,,,,,,,,,,,,,omit
2,DANTECH,,,,,,,,,,,,,,,,,,omit
2,mwihia,,,,,,,,,,,,,,,,,,omit
2,BARCLAYS,,,,,,,,,,,,,,,,,,omit
2,best bargains,,,,,,,,,,,,,,,,,,omit
2,agape electronics,,,,,,,,,,,,,,,,,,omit
2,david imenti,,,,,,,,,,,,,,,,,,omit
2,nemtech systems,,,,,,,,,,,,,,,,,,omit
2,Rebuild Tax Vendor,,,,,,,,,,,,,,,,,,omit
2,Semax Ltd,,,,,,,,,,,,,,,,,,omit
2,Alex Stephen Mwangi,,,,,,,,,,,,,,,,,,omit
2,muraya,,,,,,,,,,,,,,,,,,omit
2,motech ventures,,,,,,,,,,,,,,,,,,omit
2,bluearc computer,,,,,,,,,,,,,,,,,,omit
2,A.MWAIYI,,,,,,,,,,,,,,,,,,omit
2,ASAD,,,,,,,,,,,,,,,,,,omit
2,Lewis bluearc computer,,,,,,,,,,,,,,,,,,omit
2,Rosa,,,,,,,,,,,,,,,,,,omit
2,info choice tech,,,,,,,,,,,,,,,,,,omit
2,SHABEEL,,,,,,,,,,,,,,,,,,omit
2,copierforce ltd,,,,,,,,,,,,,,,,,,omit
2,POS Exempt Sales,,,,,,,,,,,,,,,,,,omit
2,lukas imenti,,,,,,,,,,,,,,,,,,omit
2,mr evans,,,,,,,,,,,,,,,,,,omit
2,Deno ben,,,,,,,,,,,,,,,,,,omit
2,midcom,,,,,,,,,,,,,,,,,,omit
2,ras datacom,,,,,,,,,,,,,,,,,,omit
2,grandlink,,,,,,,,,,,,,,,,,,omit
2,KIRAGU & MWANGI  LIMITED,,,,,,,,,,,,,,,,,,omit
2,TEXAS,,,,,,,,,,,,,,,,,,omit
2,dansie,,,,,,,,,,,,,,,,,,omit
2,Big skies,,,,,,,,,,,,,,,,,,omit
2,Nurex,,,,,,,,,,,,,,,,,,omit
2,hard disk supplier china,,,,,,,,,,,,,,,,,,omit
2,CHINA MARKET,,,,,,,,,,,,,,,,,,omit
2,Vanguard Powersol Ltd,,,,,,,,,,,,,,,,,,omit
2,KPSY ELECTRONIC,,,,,,,,,,,,,,,,,,omit
2,mitsumi,,,,,,,,,,,,,,,,,,omit
2,benham computers,,,,,,,,,,,,,,,,,,omit
2,MADSON CHINA,,,,,,,,,,,,,,,,,,omit
2,KELLY BAGS,,,,,,,,,,,,,,,,,,omit
2,WASP SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,mustard,,,,,,,,,,,,,,,,,,omit
2,JORUA DIGITAL SYSTEMS,,,,,,,,,,,,,,,,,,omit
2,capital point technologies,,,,,,,,,,,,,,,,,,omit
2,territories technologies,,,,,,,,,,,,,,,,,,omit
2,suspense,,,,,,,,,,,,,,,,,,omit
2,ELEVETUS TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,Kahoro,,,,,,,,,,,,,,,,,,omit
2,Reuben Kahoro,,,,,,,,,,,,,,,,,,omit
2,Ali-Dubai,,,,,,,,,,,,,,,,,,omit
2,jackson Maina,,,,,,,,,,,,,,,,,,omit
2,Eva,,,,,,,,,,,,,,,,,,omit
2,Mayitech,,,,,,,,,,,,,,,,,,omit
2,Diitek,,,,,,,,,,,,,,,,,,omit
2,chiikn,,,,,,,,,,,,,,,,,,omit
2,Caro(Ken),,,,,,,,,,,,,,,,,,omit
2,shardi,,,,,,,,,,,,,,,,,,omit
2,cHRIKEN,,,,,,,,,,,,,,,,,,omit
2,EIG Ltd,,,,,,,,,,,,,,,,,,omit
2,khan,,,,,,,,,,,,,,,,,,omit
2,digital serve,,,,,,,,,,,,,,,,,,omit
2,SHAMMAHTECHNO,,,,,,,,,,,,,,,,,,omit
2,WECH ELECTRONICS,,,,,,,,,,,,,,,,,,omit
2,tradestar enterprises,,,,,,,,,,,,,,,,,,omit
2,saveez hardware &electricals,,,,,,,,,,,,,,,,,,omit
2,kantex communications,,,,,,,,,,,,,,,,,,omit
2,b-fortune connections,,,,,,,,,,,,,,,,,,omit
2,valid,,,,,,,,,,,,,,,,,,omit
2,nyandarua,,,,,,,,,,,,,,,,,,omit
2,hi-max,,,,,,,,,,,,,,,,,,omit
2,universal electronics,,,,,,,,,,,,,,,,,,omit
2,accenture system ltd,,,,,,,,,,,,,,,,,,omit
2,BEN TECH,,,,,,,,,,,,,,,,,,omit
2,TECHBIZ KAMAU,,,,,,,,,,,,,,,,,,omit
2,ZUKU,,,,,,,,,,,,,,,,,,omit
2,RED DOT,,,,,,,,,,,,,,,,,,omit
2,CCD ELECTRICAL & NETWORKING,,,,,,,,,,,,,,,,,,omit
2,INTERSERVE AGENCY LTD-MAHEHU,,,,,,,,,,,,,,,,,,omit
2,Godmatech suppliers,,,,,,,,,,,,,,,,,,omit
2,NAIVAS,,,,,,,,,,,,,,,,,,omit
2,TOTAL SOLUTIONS LTD,,,,,,,,,,,,,,,,,,omit
2,TELKOM SUPPLIER,,,,,,,,,,,,,,,,,,omit
2,GILCO INTERNATIONAL,,,,,,,,,,,,,,,,,,omit
2,cindy electrical,,,,,,,,,,,,,,,,,,omit
2,BAGWANI AGENCIES,,,,,,,,,,,,,,,,,,omit
2,Happyland electronics,,,,,,,,,,,,,,,,,,omit
2,Heroes Computers & Electronics,,,,,,,,,,,,,,,,,,omit
2,Digital Store,,,,,,,,,,,,,,,,,,omit
2,EmiTech Kenya LTD,,,,,,,,,,,,,,,,,,omit
2,john peri,,,,,,,,,,,,,,,,,,omit
2,Rihad two computer,,,,,,,,,,,,,,,,,,omit
2,TECHWARE ENTERPRISES LTD,,,,,,,,,,,,,,,,,,omit
2,RABBI VENTURES LTD,,,,,,,,,,,,,,,,,,omit
2,trinix technology ltd,,,,,,,,,,,,,,,,,,omit
2,LEVI,,,,,,,,,,,,,,,,,,omit
2,PHONE EXPRESS,,,,,,,,,,,,,,,,,,omit
2,SMAK TECH SOLUTIONS,,,,,,,,,,,,,,,,,,omit
2,allan,,,,,,,,,,,,,,,,,,omit
2,rhney buder,,,,,,,,,,,,,,,,,,omit
2,bobtech,,,,,,,,,,,,,,,,,,omit
2,mastersed,,,,,,,,,,,,,,,,,,omit
2,kungu,,,,,,,,,,,,,,,,,,omit
2,kaburu,,,,,,,,,,,,,,,,,,omit
2,pronet computers vendor,,,,,,,,,,,,,,,,,,omit
2,maggie hk,,,,,,,,,,,,,,,,,,omit
2,SHENZHEN,,,,,,,,,,,,,,,,,,omit
2,powermax,,,,,,,,,,,,,,,,,,omit
2,technohub digital solutions,,,,,,,,,,,,,,,,,,omit
2,favored technologies,,,,,,,,,,,,,,,,,,omit
2,pato union,,,,,,,,,,,,,,,,,,omit
2,BRIJESH,,,,,,,,,,,,,,,,,,omit
2,chriss stationers,,,,,,,,,,,,,,,,,,omit
2,KPLC,,,,,,,,,,,,,,,,,,omit
2,CATHEDY LIMITED,,,,,,,,,,,,,,,,,,omit
2,Gamestech enterprises,,,,,,,,,,,,,,,,,,omit
2,afrykan power systems,,,,,,,,,,,,,,,,,,omit
2,Shaktech Supplies,,,,,,,,,,,,,,,,,,omit
2,WINTOUCH,,,,,,,,,,,,,,,,,,omit
2,Super Dynamic Agencies LTD,,,,,,,,,,,,,,,,,,omit
2,Big man ltd,,,,,,,,,,,,,,,,,,omit
2,TERRABYTE COMPUTERS,,,,,,,,,,,,,,,,,,omit
2,njage,,,,,,,,,,,,,,,,,,omit
2,creative computer,,,,,,,,,,,,,,,,,,omit
2,Optimum Connections,,,,,,,,,,,,,,,,,,omit
2,Hannah and Margaret,,,,,,,,,,,,,,,,,,omit
2,Rolling Cargo,,,,,,,,,,,,,,,,,,omit
2,Sahilya,,,,,,,,,,,,,,,,,,omit
2,LIBAAN TECH,,,,,,,,,,,,,,,,,,omit
2,SHAMMAH WAYS,,,,,,,,,,,,,,,,,,omit
2,maingi fashion,,,,,,,,,,,,,,,,,,omit
2,Timmon Vendor,,,,,,,,,,,,,,,,,,omit
2,ABSOLUTE SECURITY LTD,,,,,,,,,,,,,,,,,,omit
2,citadel,,,,,,,,,,,,,,,,,,omit
2,SONIA,,,,,,,,,,,,,,,,,,omit
2,Ruiru Sports Club,,,,,,,,,,,,,,,,,,omit
2,Edrich Converters (EA) Ltd,,,,,,,,,,,,,,,,,,omit
2,Kibra General Supplies,,,,,,,,,,,,,,,,,,omit
2,MUI & Associates,,,,,,,,,,,,,,,,,,omit
2,RENTOKIL INTIALS K.LTD,,,,,,,,,,,,,,,,,,omit
2,INFOCARE TECHNOLOGIES,,,,,,,,,,,,,,,,,,omit
2,Smart solution,,,,,,,,,,,,,,,,,,omit
2,Saif solutions ltd,,,,,,,,,,,,,,,,,,omit
2,Stomm Tech Solutions,,,,,,,,,,,,,,,,,,omit
2,Smart edge east africa,,,,,,,,,,,,,,,,,,omit
2,Surya supplies,,,,,,,,,,,,,,,,,,omit
2,Grace citystalls,,,,,,,,,,,,,,,,,,omit
2,Kendi,,,,,,,,,,,,,,,,,,omit
2,ELIASS,,,,,,,,,,,,,,,,,,omit
2,Leetech computer,,,,,,,,,,,,,,,,,,omit
2,ISAYA,,,,,,,,,,,,,,,,,,omit
2,JAKEMY,,,,,,,,,,,,,,,,,,omit
2,Wytech Technologies,,,,,,,,,,,,,,,,,,omit
2,Evercomps Technologies,,,,,,,,,,,,,,,,,,omit
2,Computer planet,,,,,,,,,,,,,,,,,,omit
2,Bestsella computers,,,,,,,,,,,,,,,,,,omit
2,Kizito,,,,,,,,,,,,,,,,,,omit
2,Sagana Electronics,,,,,,,,,,,,,,,,,,omit
2,Cannon computers,,,,,,,,,,,,,,,,,,omit
2,Demo company,,,,,,,,,,,,,,,,,,omit
2,ASTON,,,,,,,,,,,,,,,,,,omit
2,LIZ Gate com ltd,,,,,,,,,,,,,,,,,,omit
2,Toner masters,,,,,,,,,,,,,,,,,,omit
2,Francrom general merchants,,,,,,,,,,,,,,,,,,omit
2,THEURI,,,,,,,,,,,,,,,,,,omit
2,WAHINYA,,,,,,,,,,,,,,,,,,omit
2,Vgnet world computers,,,,,,,,,,,,,,,,,,omit
2,GO AFRICA,,,,,,,,,,,,,,,,,,omit
2,Amon computers,,,,,,,,,,,,,,,,,,omit
2,LUTHULI,,,,,,,,,,,,,,,,,,omit
2,Mike accra,,,,,,,,,,,,,,,,,,omit
